section,name,provision_ids
12,"Dietary: allergies (cross-flag S1), restrictions, strong dislikes",STD-002.2.1;STD-002.2.2;STD-002.2.4
12,"The small standing orders: the coffee order, the bakery item, the Friday tradition (DELIGHT candidates)",STD-019.1.1;STD-019.1.4
14,"Linen rotation: sets per bed, change cadence, where spares live",STD-015.2.1;STD-015.2.2;STD-015.2.3
4,"CADENCE REGISTRY, pets: vet annual, vaccines, license renewal, flea/heartworm supply cycle, grooming cadence",STD-009.3.4;STD-016.6.4
2,"Important-dates registry: birthdays (family and close extended), anniversaries, recurring occasions; teacher-gift and host-gift moments (feeds gift and card programs, WK_02Q)",STD-019.1.3
2,"Occupation-driven scheduling pattern, where relevant: on-call/shift unpredictability (medicine, with post-shift quiet protection), inverted hours (chefs/hospitality, evening peak), predictably-unpredictable intensity cycles (legislative session, trial, closing deadline: hard shift for a defined window, then returns to normal), bid/rotation schedule (flight crew, knowable weeks out if asked), reserve/National Guard duty (periodic drill weekends and annual training, plus possible unpredictable activation), rotating shift work (nursing, law enforcement, utilities: quiet-time and presence windows cycle month to month rather than staying fixed), or bimodal absence work (touring performers, wildland firefighters, campaign staff: alternates between near-total absence and full presence); for a rotating-shift household, childcare-handoff coverage is cross-referenced to Section 3, since who is available for pickup shifts with the rotation — named examples, not exhaustive",STD-019.6.4
6,BUILDING LOGISTICS (condo/townhome): front desk contacts by name; freight elevator reservation rules; loading dock; package room; quiet hours; building mgmt contact; building-held master shutoffs; staff holiday tipping custom (feed to person registry),STD-020.4.2;STD-020.4.3
9,"Hazardous chemical storage: pool or spa chemicals, pesticides and fertilizers, propane tanks, automotive fluids: location and security, especially where children or pets have access",STD-011.3.1;STD-012.2.5
10,"HVAC: zones, thermostats, settings, do-not-adjust rules; filter sizes and cadence",STD-012.3.2
10,"Water heater: type, location, age, quirks",STD-012.3.1;STD-016.6.1
11,"Filters registry: every filter in the home (HVAC, fridge, water, vacuum) size + cadence",STD-012.3.2
11,"LIFECYCLE DATES: install/manufacture year per major item (from nameplates): water heater, roof, HVAC, washer hoses, sump, disposal; feeds the pre-failure replacement horizons (replace on schedule beats replace in crisis) — manufacturer-recommended intervals as a reference: water heater 8-12 yrs, HVAC 15-20 yrs, smoke/CO detector units 10 yrs, roof by material's rated life. Extends to safety-critical and frequently-restocked supplies, not only fixed systems: cleaning products (6mo-2yr; bleach specifically degrades within 6 months even sealed), stored batteries (per package; smoke/CO detector batteries at least annually regardless of remaining charge), paint (6mo-5yr opened), fire extinguishers (inspected annually; recharge/replacement interval confirmed against the specific unit's own manufacture date, varies by type)",STD-016.6.1
16,"Day-sleeper room readiness (rotating shift, on-call, or overnight work): blackout coverage that functions, temperature held for daytime sleep, do-not-disturb signal in place — a physical fact distinct from the quiet-time window itself (S2)",STD-019.6.4
16,"SENSORY ARRIVAL STANDARD (per room / whole home): what it should FEEL like on entry, light (blinds/lamps set how), scent (house scent or none; where fragrance is unwelcome), sound (music off? a quiet?), temperature, the order that reads as ""done""",STD-008.1.1
17,"SENTINEL SWEEP (every visit, in the final walkthrough): under-sink and toilet-base moisture, ceiling/wall water stains, pest evidence, unusual appliance/HVAC sounds, unfamiliar smells, detector glance; abnormalities photographed and reported same day",STD-012.3.1;STD-012.3.5;STD-012.3.6
