domain,tier,anchor_2_below_standard,anchor_3_meets_hom_i,anchor_4_strong,anchor_5_expert
Contextual operating judgment,high_consequence,Executes the step without identifying who has authority or what depends on it,Identifies context and authority correctly with prompting; understands downstream consequences when asked,Identifies context authority and consequences unprompted; translates accurately; closes the loop,Anticipates second-order effects across systems; documents so another HOM could act
Household relationship and boundaries,high_consequence,Accepts scope creep or a gift; discusses other households; over-familiar or servile,Holds the Boundary Card scripts when tested; escalates a probe,Holds boundaries warmly and without friction; names the staffing wall naturally,Repairs a boundary the member did not know was crossed; member feels respected not managed
Prepared decisions and communication,high_consequence,Brings problems without options or brings options without a recommendation,Presents two options and a recommendation with cost and consequence,Frames the decision in the member's terms; three-sentence report is exact,Member decisions fall over time because prepared decisions land inside standing authority
Safety and escalation,high_consequence,Skips a step in the emergency sequence or proceeds past a hazard,Executes the emergency sequence in order; stops work on hazard,Executes automatically under stress; documents accurately same day,Identifies latent hazards on observation and files them without prompting
Vendor and property fluency,core,Cannot describe what a vendor did or should have done,Describes the work and checks it against the standard,Catches substandard work; knows lead times and seasonal windows,Manages the vendor bench; anticipates failures from condition
Household systems literacy,core,Cannot locate shutoffs or explain a system,Locates shutoffs; explains each major system at owner level,Reads condition and age; predicts service needs,Builds the household's systems map and horizon
Privacy and security,core,Photographs a never-photograph item or discusses the household outside it,Follows photo and data rules; handles keys per protocol,Notices and corrects a privacy exposure in the record,Designs the household's NDA-mode practice
Software and record discipline,core,Records after the fact or from memory; skips required close steps,Records in the app during the visit; close flow complete,Record is usable by a backup HOM without a call,Record improves the standard; redlines the Playbook
Service navigation,supporting,Cannot find the right provider or office,Navigates common services with the standard,Knows the local landscape and its exceptions,Maintains the regional service map
Project and transition coordination,supporting,Loses sequence or dependencies in a multi-week task,Runs a small project to plan with dependencies tracked,Runs a transition (move renovation new school) with prepared decisions,Designs the coordination cascade for a life event
Cultural adaptability,supporting,Applies own norms to the household,Follows the household's observances and preferences as recorded,Adapts tone and practice across households without prompting,Teaches cultural range to others
Accessibility and autonomy,supporting,Does for a member what the member wants to do,Follows recorded autonomy preferences,Notices changing needs and raises them as observations,Adapts the household plan to preserve autonomy over time
